adulterant,source,auto SMILES
damaged or overripe olives,ema,
dasyatis bennetti,ema,
decyltrimethylammonium chloride (antimicrobial compound),usp,
defatted cloves,usp,
defatted paprika,usp,
deg,rasff,OCCOCCO
dehydrated red beets,usp,
dehydroepiandrosterone,rasff,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@]34C)[C@@H]1CCC2=O
denatured rapeseed oil not fit for consumption,ema,
detergent,usp,
detergent,ema,
detergent,rasff,
dextrin,usp,OC[C@H]1OC(O[C@H]2[C@H](O)[C@@H](O)C(O[C@@H]2CO)O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@@H]1O
dextrose,ema,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
dextrose,usp,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
dextrose or disaccahrides,usp,
dextrose syrup,usp,
di-(2-ethylhexyl)phthalate (dehp),usp,
di-2-ethylhexyl phthalate (dehp),usp,
di-isononyl phthalate (dinp),usp,
di-n-octyl phthalate (dnop),usp,
dibutyl phthalate,ema,C(C=1C(C(=O)OCCCC)=CC=CC1)(=O)OCCCC
dibutyl phthalate (dbp),usp,
dicyandiamide,usp,NC(N)=NC#N
diesel oil,rasff,
diet pills,rasff,
dietary supplement,fda,
diethylene glycol,rasff,C(COCCO)O
diethylene glycol,usp,C(COCCO)O
diethylene glycol,ema,C(COCCO)O
diethylhexyl phthalate,ema,C(C=1C(C(=O)[O-])=CC=CC1)(=O)OC(CCCCC)(CC)CC
diethylhexyl pthalate (dehp),ema,
diisobutyl phthalate,usp,C(C=1C(C(=O)OCC(C)C)=CC=CC1)(=O)OCC(C)C
diisobutyl phthalate,ema,C(C=1C(C(=O)OCC(C)C)=CC=CC1)(=O)OCC(C)C
diisodecyl phthalate (didp),usp,
diisononyl phthalate (dinp),usp,
"diluent solvents including: abitol, benzyl alcohol, benzyl benzoate, carbitol (diethylene glycol monoethyl ether), diacetone alcohol, dipropylene glycol, dipropylene glycol methyl ether and tripropylene glycol methyl ether, hydrogenated methyl ester of ro",usp,
dimethyl yellow,ema,CN(C)c1ccc(cc1)N=Nc2ccccc2
dimethylsildenafil,rasff,
dioxin-like polychlorobifenyls,rasff,
dioxins,rasff,
diphosphate,rasff,[O-]P([O-])(=O)OP(=O)([O-])[O-]
disodium diphosphate,rasff,[O-]P([O-])(=O)OP(=O)(O)O.[Na+].[Na+]
disodium ethylene diamine tetra acetate,rasff,
distilled oils,usp,
dl-malic acid,usp,OC(CC(O)=O)C(O)=O
dog (canine) meat,usp,
dogfish,ema,
donkey,ema,
doxylamine,rasff,CN(C)CCOC(C)(c1ccccc1)c2ccccn2
dried fruit of west indian lantana (lantana camara),usp,
dry milk,usp,
duck protein,rasff,
dulcin,fda,CCOc1ccc(NC(N)=O)cc1
dung,usp,
dung powder,usp,
dushuqiang,ema,
dusky cob,ema,
dust,ema,C1CCN(CC1)C2(CCCCC2)c3ccccc3
dye,ema,
dyed pork,usp,
dyed saw dust,ema,
dyed strips of other parts of the saffron plant (stamens or perigonia),usp,
dyes,ema,
dyes,usp,
e 260 synthetic acetic acid,rasff,
e. coli,ema,
e.coli,fda,
e141 food additive,ema,
earth material/powdered stone,usp,
edible oil,ema,
elderberry pigments,usp,
emperor fish,ema,
emperor snapper,ema,
engine oil,usp,
enrofloxacin,ema,CCN1CCN(CC1)c2cc3N(C=C(C(O)=O)C(=O)c3cc2F)C4CC4
enterobacteriaceae,rasff,
ephedrine,rasff,CN[C@@H](C)[C@H](O)c1ccccc1
ephedrine alkaloids,fda,
epigallocathechine gallate,rasff,
erucic acid,rasff,C(CCCCCCCCCCC\C=C/CCCCCCCC)(=O)O
erythorbic acid,rasff,OCC(O)C1OC(=C(O)C1=O)O
erythrosine,rasff,[Na+].[Na+].[O-]C(=O)c1ccccc1C2=C3C=C(I)C(=O)C(=C3Oc4c(I)c([O-])c(I)cc24)I
erythrosine,usp,[Na+].[Na+].[O-]C(=O)c1ccccc1C2=C3C=C(I)C(=O)C(=C3Oc4c(I)c([O-])c(I)cc24)I
escolar,ema,
"escolar (lepidocybium
flavobrunneum)",usp,
essential oils,usp,
ethanol,rasff,C(C)O
ethanol,ema,C(C)O
"ethanol, methanol, or water",usp,
"ethyl esters of aliphatic acids (e.g., ethyl oenanthate)",usp,
ethyl maltol,usp,CCC1=C(O)C(=O)C=CO1
ethyl maltol,rasff,CCC1=C(O)C(=O)C=CO1
ethyl tertiairy buthyl ether,rasff,
ethyl vanillin,usp,O=CC1=CC(OCC)=C(O)C=C1
ethyl-p-hydroxybenzoate,rasff,C(C)OC(C1=CC=C(C=C1)O)=O
ethylcarbamate,rasff,C(C)NC([O-])=O
ethylene glycol,usp,C(CO)O
ethylenediaminetetraacetic acid,rasff,C(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O
"eucalyptus and white camphor oil fractions, spanish sage oil",usp,
eucalyptus citriodora,usp,
eucalyptus oil (eucalyptus globulus) and camphor oil white (cinnamomum camphora),usp,
evodiamine,rasff,CN1[C@H]2N(CCc3c2[nH]c4ccccc34)C(=O)c5ccccc15
expired beef,ema,
expired broiler turkeys,ema,
expired buns,ema,
expired chicken,ema,
expired chicken feet,ema,
expired drinks,ema,
expired duck meat,ema,
expired ground beef,ema,
expired meat,ema,
expired milk,ema,
expired milk powder,ema,
expired products,ema,
expired smoked sausage,ema,
expired vegetables,ema,
expressed lime or grapefruit oil,usp,
extra virgin olive oil from non-authentic botanical origin or geographic region,usp,
extra virgin olive oil of non-authentic botanical origin,usp,
fabric dye,usp,
fake alomo bitters,ema,
"fake eggs made of alginic acid, potassium, calcium chloride, gelatin,
paraffin, artificial coloring and water",usp,
fake liquor,ema,
fake milk,usp,
"fake milk (oil, urea, detergent, caustic soda, sugar, salt, and skim milk powder)",usp,
fake milk containing sodium bicarbonate,usp,
fake milk with anionic detergents,usp,
fake protein powder with melamine,usp,
fake rice made from plastic resin and potato starch,usp,
fake shrimp paste,usp,
fake vodka,usp,
"fake, engineered eggs",usp,
false black pepper (embelia ribes),usp,
farina wheat,usp,
farm raised asian catfish,usp,
farm raised non-us shrimp,usp,
farm-raised asian catfish,ema,
farm-raised atlantic salmon (salmo salar),usp,
farm-raised salmon,ema,
farm-raised shrimps from outside of the usa,ema,
fast green fcf / fd&c green,rasff,
fat trimmings,usp,
fatty aldehydes and monoterpene alcohols and esters to terpeneless and folded citrus oils,usp,
fd&c red no. 3,ema,[Na+].[Na+].[O-]C(=O)c1ccccc1C2=C3C=C(I)C(=O)C(=C3Oc4c(I)c([O-])c(I)cc24)I
fd&c red no. 40,ema,[Na+].[Na+].COc1cc(c(C)cc1N\N=C2\C(=O)C=Cc3cc(ccc23)[S]([O-])(=O)=O)[S]([O-])(=O)=O
fd&c yellow #5,fda,
fd&c yellow no. 5,ema,[Na+].[Na+].[Na+].[O-]C(=O)C\1=NN(C(=O)C1=N/Nc2ccc(cc2)[S]([O-])(=O)=O)c3ccc(cc3)[S]([O-])(=O)=O
fd&c yellow no. 6,ema,[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C2\C(=O)C=Cc3cc(ccc23)[S]([O-])(=O)=O)cc1
fennel seeds,usp,
fennel seeds,ema,
fennel seeds coated with marble dust,usp,
fenthion,rasff,CO[P](=S)(OC)Oc1ccc(SC)c(C)c1
fenugreek gum,usp,
fermentation derived vanillin,usp,
ferrous glucomate,rasff,
fibers of dried animal meats,usp,
fig juice,usp,
figs,usp,
fine plastic crystals,ema,
fish,ema,
fish of non-authentic species,usp,
flathead sole,usp,
flavor-enhanced soybean oil,ema,
flavoring agents,ema,
flavors,ema,
flavourings,ema,
flax,usp,
floral waste,usp,
flour,usp,
flour,ema,
flowers from arnica,usp,
flowers from calendula,usp,
flowers from calendula (calendula officinalis l.) colored with methyl orange,usp,
flowers from curcuma,usp,
flowers from marigold,usp,
"flowers from non-authentic botanical origin cut into strips (papaver rhoeas l., punica granatum l., arinica montana l., or scolymus hispanicus l.)",usp,
flowers from safflower (carthamus tinctorius l.),usp,
flunixin,ema,Cc1c(Nc2ncccc2C(O)=O)cccc1C(F)(F)F
fluoride,rasff,[F-]
folic acid,rasff,[F-]
food additive cellulose acetate phtalate,rasff,C(CC[C@@H](C(=O)O)NC(=O)C1=CC=C(NCC2=CN=C3N=C(N)NC(=O)C3=N2)C=C1)(=O)O
food additive formic acid,rasff,
food additive isopropyl alcohol,rasff,
food additive propylene oxide,rasff,
food additive sodium polyacrylate,rasff,
food additive white mineral oil,rasff,
food coloring,ema,
food gums,usp,
food starches,usp,
food supplement,rasff,
food supplements,rasff,
foreign farm-raised shrimp,ema,
formaldehyde,ema,C=O
formaldehyde,usp,C=O
formalin,ema,C=O
formol,rasff,C=O
fox,ema,
fox meat,ema,
fragrance,ema,
fraud with,rasff,
free fatty acids,rasff,
free glucose or sucrose,usp,
frigate mackerel (auxis thazard),usp,
frozen turkey breast,rasff,
frozen whole cleaned cuttlefish,rasff,
fructose,usp,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)CO
fructose and glucose mixture,usp,
fructose syrup,usp,
"fructose, glucose, and sucrose",usp,
fruit from non-authentic botanical origin,usp,
fruit jelly cups,rasff,
fruit jelly mix,rasff,
fruit juice,ema,
fruit puree from non-authentic botanical origin,usp,
fuchsin color,usp,
fulvic acid,rasff,C1(=CC=CC1=C)C(=O)O
fumaric acid,rasff,C(\C=C\C(=O)O)(=O)O
fungus,ema,
furazolidone,ema,[O-][N+](=O)c1oc(cc1)\C=N\N2CCOC2=O
galeorhinus galeus [market names: shark or school shark],ema,
gamma butyrolactone,rasff,C1(CCCO1)=O
gamma-aminobutyric acid,rasff,NCCCC(=O)O
"gamma-terpinene, dimethyl anthranilate, alpha-sinesal, and perilla aldehyde to convert to mandarin oil (citrus reticulata var. mandarin)",usp,
gammahydroxibutyrate,rasff,
garcinia cambogia desr,rasff,
gardenia yellow dye,usp,
gelatin,ema,
gelatin,usp,
gelatin of non-authentic animal origin (porcine or bovine),usp,
gelatine (bovine),usp,
gelatine (porcine),usp,
genidens barbus [common name white sea catfish or bagre],ema,
geraniol,usp,CC(C)=CCC\C(\C)=C\CO
"germanium, lithium",rasff,
giant pangasius [pangasius sanitwongsei],ema,
ginger,rasff,
ginseng,fda,
ginseng of non-authentic botanical origin,usp,
"ginseng, american (panax quinquefolius)",usp,
"ginseng, chinese (panax ginseng)",usp,
giraffe,ema,
glauber's salt,usp,O.O.O.O.O.O.O.O.O.O.[Na+].[Na+].[O-][S]([O-])(=O)=O
glucose,usp,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
glucose,ema,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
glucose and fructose,usp,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
glucose syrup,usp,
glue,ema,
glutamates,rasff,
glutamic acid,usp,N[C@@H](CCC(=O)O)C(=O)O
glutamic acid,rasff,N[C@@H](CCC(=O)O)C(=O)O
gluten,ema,
gluten,rasff,
glycerin,usp,OCC(O)CO
glycerine,usp,OCC(O)CO
glycerol monocaprylate,ema,C(CCCCCCC)(=O)O.OCC(O)CO
glycine,rasff,NCC(=O)O
glycine,ema,NCC(=O)O
glycine,usp,NCC(=O)O
glyerin,usp,
goat,ema,
goat fat,usp,
goat meat,ema,
gold,rasff,[Au]
goldbanded jobfish,ema,
golden corn flavor,ema,
golden pompano,ema,
grain flours,usp,
"grains or legumes (wheat, barley, kidney bean, etc.)",usp,
grape derived juices or wines,usp,
grape juice,usp,
grape juice and grape skin color,usp,
grape seed oil,usp,CCCCC/C=C/C/C=C/CCCCCCCC(O)=O
grape wine from non-authentic botanical origin,usp,
grape wine from non-authentic geographic origin,usp,
grapefruit juice,usp,
grapefruit juice plus synthetic sugar/acid mixture,usp,
grapefruit oil,usp,
grapeseed oil,usp,
grapeseed oil (desterolilzed),usp,
grass powder,usp,
grass seeds colored with charcoal dust,usp,
greek olive oil,ema,
green colorant,ema,
green dye,usp,
green jobfish,ema,
green jobfish (jobfish or snapper),ema,
green s,rasff,[Na+].CN(C)c1ccc(cc1)[C+](c2ccc(cc2)N(C)C)c3c(O)c(cc4cc(ccc34)[S]([O-])(=O)=O)[S]([O-])(=O)=O
green weak fish,ema,
greenling,ema,
grit,ema,
ground coconut shells,usp,
ground corn,usp,
ground mustard husks,usp,
ground nut flour,usp,
ground olive stone,usp,
ground papaya seeds,usp,
ground peanut shells,usp,
ground pepper husks,usp,
ground pork meat,usp,
ground red pepper (capsicum annuum l.),usp,
ground rice,usp,
grouper,usp,
grouper (farm-raised),usp,
growth hormone releasing peptide -2,rasff,
guaiacol,rasff,C=1(C(O)=CC=CC1)OC
guanidine,usp,NC(=N)N
guar gum,usp,
guggulsterone,rasff,C\C=C/1C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
gum,usp,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O[C@@H]2CO)Oc3ccc4C(=CC(=O)Oc4c3)C
gum,ema,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1O[C@H]2[C@H](O)[C@@H](NC(C)=O)C(O[C@@H]2CO)Oc3ccc4C(=CC(=O)Oc4c3)C
gum from acacia seyal,usp,
gum from combretum erythrophyllum,usp,
gum from non-authentic botanical origin,usp,
gum talha (acacia seyal),usp,
gurjun balsam (dipterocarpus spp.),usp,
gurjun balsam oil,usp,
gutter oil,ema,
gutter oil (recycled oil),usp,
gypsum,usp,[Ca++].[O-][S]([O-])(=O)=O
gypsum powder,ema,
hackleback roe,ema,
haddock,ema,
haddock,usp,
haddock (china origin),usp,
haddock (melanogrammus aeglefinus),usp,
haddok,ema,
hake,ema,
hake fish of non-authentic species,usp,
hake or coley fish,usp,
hazardous materials,ema,
hazelnut oil,usp,
heat-processed milk,usp,
heavy metals,rasff,
heliotrope oil,ema,
hepatitis a virus,fda,
herb,rasff,
herbaceous plants cut into strips and dyed with azo or cochineal dye,usp,
herbs,rasff,
herring,usp,
hexamethylene tetramine,rasff,C1N2CN3CN1CN(C2)C3
hexavalent chromium,ema,
high linoleic/oleic sunflower oil,usp,
high oleic sunflower oil,usp,
high oleic-acid sunflower oil,usp,
high-fructose corn syrup,ema,
high-fructose corn syrup,usp,
"high-fructose corn syrup, cane sugar hydrolysates, or beet sugar hydrolysates",usp,
high-fructose inulin syrup,usp,
high-fructose syrup,usp,
high-oleic seed oil of non-authentic botanical origin,usp,
high-oleic sunflower oil,usp,
histamine,fda,NCCC1=CNC=N1
histamine,rasff,NCCC1=CNC=N1
histidine,usp,N[C@@H](CC1=CNC=N1)C(=O)O
ho oil rectified (cinnamomum spp.) and acetylated ho or acetylated lavandin oils,usp,
hogget,ema,
honey,usp,
honey,ema,
honey from non-authentic botanical or geographic origin,usp,
honey from non-authentic botanical origin,usp,
honey from non-authentic geographic origin,usp,
honey from non-authentic geographic region,usp,
honey of non-authentic botancial origin,usp,
honey of non-authentic botanical or geographic origin,usp,
honey of non-authentic botanical origin,usp,
honey of non-authentic geographic or botanical origin,usp,
honey of non-authentic geographic origin,usp,
honey of non-authentic geographic origin),usp,
honey with chloramphenicol,usp,
horse meat,ema,
horse meat,usp,
husks,ema,
hydrocarbons,ema,
hydrochloric acid,ema,Cl
hydrogen peroxide,rasff,OO
hydrogen peroxide,ema,OO
hydrogen peroxide,usp,OO
hydrogenated fats,usp,
hydrogenated soybean oil,usp,
hydrogenated vegetable oil,usp,
hydrolyzed inulin,usp,
hydrolyzed leather,usp,
hydroxymethylfurfural,ema,OCC1=C(C=O)OC=C1
hydroxymethylfurfural,rasff,OCC1=C(C=O)OC=C1
hydroxyproline,usp,N1[C@H](C(=O)O)C[C@@H](O)C1
hypochlorite,usp,Cl[O-]
hypochlorite,ema,Cl[O-]
"idebenone, vinpocetine, vincamine",rasff,
illegal import of,rasff,
illegal sulphites,ema,
illegal trade of,rasff,
imitation carbonated beverage,ema,
imitation cheese products,ema,
imitation crab,ema,
imitation scallops,ema,
imitation shark fin,ema,
imported olive oil,ema,
imported sugar,ema,
impure water,ema,
indian geranium oil,usp,
indigotine / indigo carmine,rasff,
indonesian patchouli oil blended with the cheaper chinese oil,usp,
industrial alcohol,ema,
industrial alcohol,usp,
industrial chemicals,ema,
industrial gelatin dervied from waste leather,usp,
industrial grade salt,ema,
industrial oils contaminated with triorthocresyl phosphate (tocp),usp,
industrial salt,usp,
industrial salts,ema,
industrial solvents,ema,
industrial sugar syrups,usp,
industrial synthetic resins,ema,
infant formula with soy or dairy allergens,usp,
inner coating peeling off,rasff,
insects,ema,
insufficient alcohol levels,ema,
insufficient weight,ema,
invert beet sugar,usp,
invert cane sugar,usp,
invert sugar,usp,
invert sugar,ema,
invert sugar syrup,usp,
invert sugar syrups,usp,
invert syrups (beet or cane),usp,
inverted beet syrup,usp,
inverted cane sugar,usp,
inverted cane syrup,usp,
inverted sugar,usp,
inverted syrup,usp,
iodine,ema,[I]
iodine,rasff,[I]
iranian saffron,ema,
iron,rasff,[Fe]
iron filings,usp,
irradiation,rasff,
isobutyl angelate and bisabolols,usp,
isobutylidene diurea,usp,C(C(C)C)(NC(=O)N)NC(=O)N
isoglucose syrup,usp,
isoleucine,usp,N[C@@H]([C@@H](C)CC)C(=O)O
isopropanol,ema,C(C)(C)O
isopropyl,ema,
isopropyl alcohol,usp,C(C)(C)O
isurus oxyrinchus [shark,ema,
japanese amberjack,ema,
japanese mashrooms,ema,
japanese sea bass,ema,
japanese sea bass (lateolabrax japonicus),usp,
japanese seabass (lateolabrax japonicus),usp,
japanese star anise,ema,
japanese star anise (illicium anisatum linn),usp,
jelly mini-cups containing agar e 406,rasff,
jelly mini-cups containing carrageenan e 407,rasff,
jellyfish,ema,
john dory,usp,
juice from non-authentic botanical origin,usp,
juice from non-authentic fruit,usp,
juice from non-authentic geographic origin,usp,
juice of non-authentic botanical origin,usp,
juniper berry,usp,
k acesulfame,ema,
kaempferol,usp,Oc1ccc(cc1)C2=C(O)C(=O)c3c(O)cc(O)cc3O2
kangaroo,ema,
kangaroo meat,ema,
kerosence,usp,
kerosene oil,rasff,
kesari dal,usp,
khesari dal,ema,
khesari dal (lathyrus sativus),usp,
khesari dal or lathyrus sativus,usp,
"king mackerel (scomberomorus
cavalla)",usp,
kleingrass,ema,
konjac,rasff,
konjac gum,usp,
l-alanine,ema,C[C@H](N)C(O)=O
l-arginine,ema,N[C@@H](C)C(=O)O
l-carnitine fumarate,rasff,N[C@@H](CCCNC(N)=N)C(=O)O
l-glutamine,ema,C(\C=C\C(=O)O)(=O)O.O[C@@H](C[N+](C)(C)C)CC([O-])=O
l-isoleucine,ema,N[C@@H](CCC(N)=O)C(=O)O
l-leucine,ema,N[C@@H]([C@@H](C)CC)C(=O)O
l-lysine,ema,N[C@@H](CC(C)C)C(=O)O
l-lysine hydrochloride,ema,N[C@@H](CCCCN)C(=O)O
l-threonine,ema,Cl.N[C@@H](CCCCN)C(=O)O
l-tryptophan,rasff,N[C@@H]([C@H](O)C)C(=O)O
l-valine,ema,N[C@@H](CC1=CNC2=CC=CC=C12)C(=O)O
l. citriodora herb distilled over lemon oil,usp,
lactose,usp,OC1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)CO)[C@H](O1)CO
lactose,rasff,OC1[C@H](O)[C@@H](O)[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)[C@H](O2)CO)[C@H](O1)CO
lake victoria perch,ema,
lake victoria perch,usp,
lamb,ema,
lamb meat,ema,
lamb oil,ema,
lambsquarters,ema,
lamp oil,ema,
lampante oil,ema,
lampante or refined olive oil,usp,
lane snapper,ema,
lane snapper (lutjanus synagris),usp,
lard,usp,
larimichthys crocea,ema,
lasalocid sodium,ema,[Na+].CCC(C1OC(CC)(CC1C)C2CCC(O)(CC)C(C)O2)C(=O)C(C)C(O)C(C)CCc3ccc(C)c(O)c3C([O-])=O
lascadoil,ema,
lavandin (lavandula x intermedia) oil varieties,usp,
lead,rasff,[Pb]
lead,usp,[Pb]
lead,fda,[Pb]
lead chromate,ema,[Cr](=O)(=O)([O-])[O-].[Pb+2]
lead chromate,usp,[Cr](=O)(=O)([O-])[O-].[Pb+2]
lead oxide,ema,[Pb]=O
lead oxide,rasff,[Pb]=O
lead oxide,usp,[Pb]=O
lead tetraoxide,usp,
lead tetroxide,usp,
leafy greens,ema,
leather-hydrolyzed protein,ema,
leaves from cistus,usp,
leaves from indigofera plants,usp,
"leaves from non-authentic botanical origin (rhus coriaria l., cistus spp., or rubus spp.)",usp,
leaves from non-authentic plants,usp,
leaves from plumbago plants,usp,
leaves from sumac,usp,
leguminous plants,usp,
lemon juice,usp,
lemon oil,usp,
lemon oil,ema,
"lemon oil, rectified ho oil (cinnamomum spp.), acetylated ho oil, or bitter orange oil (citrus aurantium subsp. aurantium)",usp,
lemon sole [microstomus kitt],ema,
lemon yellow 60 (tartrazine),ema,
leucine,usp,N[C@@H](CC(C)C)C(=O)O
lime oil,usp,
lime oil residue,usp,
limestone,usp,[Ca++].[O-]C([O-])=O
limonene and (+)-carvone,usp,
limonene and touches of alkyl phthalides,usp,
linalol and linalyl acetate,usp,
linalol and trace amounts of certain pyrazines,usp,
"linalol, plus trace amounts of methyl heptenone, methyl heptenol, 3-octanol, and para-methyl acetophenone",usp,
linalool (synthetic or from non-authentic botanical source),usp,
linalool from non-authentic source,usp,
linalyl aceate esters (synthetic or from non-authentic botanical source),usp,
"linalyl acetate, 1,8-cineole, and alpha-terpinyl acetate",usp,
linoleic acid,rasff,C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)O
linseed oil,usp,
lipase-catalyzed interesterified lard,usp,
liquid sugar candy,ema,
listeria,fda,
lithium,rasff,[Li]
locust bean gum,usp,
logwood particles,usp,
long grain rice,usp,
low grade cooking oil,ema,
low grade ground beef,ema,
low quality quality local wine,ema,
low-grade of molasses combined with glucose syrup,usp,
low-grade sugar combined with glucose powder,usp,
low-quality garlic oil combined with diallyl sulfide compounds,usp,
low-quality onion oil combined with sulfur compounds,usp,
lower cost beef,ema,
lower cost meats,ema,
lower quality oils,ema,
lubricating oil contaminted with ortho-cresyl phophate,usp,
lumpfish roe,usp,
lupine,usp,
lutjanidae and serranidae and unidentified taxa,ema,
lycopene,rasff,CC(C)=CCC\C(C)=C\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C=C(C)\CCC=C(C)C
lye,ema,[OH-].[Na+]
lysine,usp,N[C@@H](CCCCN)C(=O)O
lysozyme,rasff,
machine oil,usp,
mackerel,ema,
magnesium aspartate,rasff,N[C@@H](CC(=O)[O-])C(=O)[O-].[Mg+2]
mahi,ema,
maize,usp,
maize,ema,
maize oil,usp,
maize starch,usp,
mako,ema,
mako shark,usp,
malabar snapper,ema,
malachite green,ema,[Cl-].CN(C)c1ccc(cc1)[C+](c2ccccc2)c3ccc(cc3)N(C)C
malachite green,usp,[Cl-].CN(C)c1ccc(cc1)[C+](c2ccccc2)c3ccc(cc3)N(C)C
malchite green,usp,
maleic anhydride,ema,C1(\C=C/C(=O)O1)=O
malic acid,usp,C(C(O)CC(=O)O)(=O)O
malt,usp,
maltodextrin,usp,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O
maltodextrins,usp,
maltol,usp,CC1=C(O)C(=O)C=CO1
maltose,usp,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O
mammalian protein,rasff,
mandarin juice,ema,
mandarin juice,usp,
manganese,rasff,[Mn]
mango juice from non-authentic botanical origin,usp,
maple flavoring,ema,
margarine,usp,
marigold (calendula officinalis) flowers,usp,
marigold flower extract (tagetes erecta),usp,
martius yellow color,usp,
mash potato,usp,
meat from non-authentic species,usp,
meat processing waste,ema,
melamine,ema,N1=C(N)N=C(N)N=C1N
