adulterant,source,auto SMILES
rice of non-authentic botanical origin,usp,
rice powder,usp,
rice starch,usp,
rice sugar,ema,
rice syrup,usp,
road salt,usp,
roasted barley,usp,
roasted beans,usp,
roasted corn,usp,
roasted date seeds,usp,
roasted grains,usp,
roasted soybeans,usp,
"roasted, ground barley",usp,
"roasted, ground corn",usp,
"roasted, ground parchment",usp,
robusta coffee,usp,
rockfish,usp,
rockfish,ema,
rocu dye,ema,
root of non-authentic botanical origin,usp,
roots of allium porrum l.,usp,
rose snapper,ema,
rosin and petroleum,usp,
rotten fruit,ema,
rotten pork,ema,
rotten wheat,ema,
royal jelly produced from non-authentic saccharide sources,usp,
rubbing alcohol,ema,CC(C)O
russian caviar,ema,
rye flour,usp,
sablefish (anaplopoma finbira),usp,
saccharin,rasff,S1(=O)(=O)NC(=O)C2=CC=CC=C12
saccharin,ema,S1(=O)(=O)NC(=O)C2=CC=CC=C12
saccharin sodium,ema,[Na].S1(=O)(=O)NC(=O)C2=CC=CC=C12
saccharine,ema,S1(=O)(=O)NC(=O)C2=CC=CC=C12
"saffron impregnated with syrups, glycerin, or oils",usp,
saffron of non-authentic geographic origin,usp,
saffron petals,usp,
"saffron stamens or styles, or stigmas from other crocus species such as marigolds",usp,
saffron with artificially increased water content,usp,
saigon beer,ema,
saithe,ema,
"saithe (pollachius
virens)",usp,
salicylic acid,ema,OC(=O)c1ccccc1O
salicylic acid,rasff,C(C=1C(O)=CC=CC1)(=O)O
salicylic acid,usp,C(C=1C(O)=CC=CC1)(=O)O
"salmon (atlantic, farm-raised)",usp,C(C=1C(O)=CC=CC1)(=O)O
salmon (china origin),usp,
salmon (chinese),usp,
salmon (farm-raised),usp,
salmon roe,usp,
salmonella,ema,
salmonella,fda,
salmonella enteriditis,ema,
salmonella hadar,rasff,
salmonella typhimurium bacteria,ema,
salt,usp,[Na+].[Cl-]
salt,ema,[Na+].[Cl-]
salt,rasff,[Na+].[Cl-]
salted boneless skinless chicken breast contaminated with diesel oil during transport,rasff,
saltpeter,usp,[K+].[O-][N+]([O-])=O
samak,ema,
sand,usp,O=[Si]=O
sand,ema,O=[Si]=O
sand and talcum,usp,
sand sole,ema,
"sand, marble, or stones",usp,
sandalwood dye,usp,
sandalwood terpenes and sandalwood fragrance chemicals,usp,
sandlewood dust,usp,
sardines,usp,
saw dust,usp,
sawdust,usp,
sawdust and jiegeng (platycodon grandiflorum),usp,
scallop-flavored seafood nuggets,ema,
scamp grouper,ema,
scented and colored resin,usp,
sciaenidae,ema,
scomberomorus niphonius,ema,
sea bass,usp,
seabream (pagrus major),usp,
sedatives,ema,
seed oil,usp,
seed oil,ema,
seed oils,usp,
seignette's salt,usp,
selenium,rasff,[Se]
semicarbazide,rasff,NNC(=O)N
semicarbazide,usp,NNC(=O)N
"semolina, rice flour, and sodium bicarbonate",usp,
semoline,ema,
senegalese sole,ema,
senegalese tonguesole [cynoglossus senegalensis],ema,
senna alexandrina mill.,rasff,
serine,usp,N[C@@H](CO)C(=O)O
sesame meal,usp,
sesame oil,usp,
sesame oil of non-authentic geographic origin,usp,
sewage water,ema,
sharbetti rice,ema,
sheep meat,ema,
sheep milk,ema,
shell eggs (barn raised),usp,
shell eggs (caged),usp,
shell eggs (conventional),usp,
shell eggs of non-authentic geographic origin,usp,
shigella,fda,
shiraz wine of non-authentic geographic origin,usp,
shortfin mako shark,ema,
shovelnose sturgeon,ema,
shrimp (chinese),usp,
shrimp from thailand,ema,
"shrimp from thailand, malaysia, or indonesia",usp,
shrimp of non-authentic geographic origin,usp,
sibutramine,rasff,CC(C)CC(N(C)C)C1(CCC1)c2ccc(Cl)cc2
sibutramine,usp,CC(C)CC(N(C)C)C1(CCC1)c2ccc(Cl)cc2
sibutramine suspected,rasff,
sildenafil,ema,CCCc1nn(C)c2C(=O)N=C(Nc12)c3cc(ccc3OCC)[S](=O)(=O)N4CCN(C)CC4
sildenafil,rasff,CCCc1nn(C)c2C(=O)N=C(Nc12)c3cc(ccc3OCC)[S](=O)(=O)N4CCN(C)CC4
sildenafil thiono analogue,rasff,
"sildenafil thiono analogues, tadalafil",rasff,
"sildenafil, sildenafil thiono analogue",rasff,
silk snapper,usp,
silver,rasff,[Ag]
singhada,ema,
sinopol (a detergent),ema,
skim milk powder (reconstituted),usp,
skim milk powder (reconstituted),usp,
skimmed milk powder,usp,
skimmed milk powder,ema,
skins,ema,
skipjack,usp,
slinger seabream,ema,
smell,rasff,
smoke flavouring,rasff,
smoked hams,rasff,
smoked paprika from non-authentic geographic origin,usp,
smoked whiting,ema,
smooth amaranth,ema,
smuggled beef,ema,
smuggled beluga caviar,ema,
smuggled frozen meat,ema,
snapper,usp,
snapper,ema,
soap stone,usp,
soda,usp,O.O.O.O.O.O.O.O.O.O.[Na+].[Na+].[O-]C([O-])=O
soda lye,rasff,[OH-].[Na+]
sodium,ema,[Na]
sodium,rasff,[Na]
sodium alginate,ema,
sodium aluminium phosphate,rasff,P(=O)([O-])([O-])[O-].[Al+3].[Na+]
sodium azide,rasff,[N-]=[N+]=[N-].[Na+]
sodium benzoate,rasff,C(C1=CC=CC=C1)(=O)[O-].[Na+]
sodium benzoate fortified orange pulpwash,usp,
sodium carbonate,usp,C([O-])([O-])=O.[Na+].[Na+]
sodium carbonates,rasff,
sodium chloride,ema,[Cl-].[Na+]
sodium chloride,usp,[Cl-].[Na+]
sodium citrate,ema,C(CC(O)(C(=O)[O-])CC(=O)[O-])(=O)[O-].[Na+].[Na+].[Na+]
sodium citrate peroxide,ema,
sodium copper chlorophyllin,ema,[Na+].[Na+].[Na+].[Cu++].CCc1c(C)c2cc3[n-]c(cc4[n-]c(C(CCC([O-])=O)C4C)c(CC([O-])=O)c5nc(cc1n2)c(C)c5C([O-])=O)c(C)c3C=C
sodium cyclamate,ema,[Na+].[O-][S](=O)(=O)NC1CCCCC1
sodium dichromate,ema,[Cr](=O)(=O)([O-])O[Cr](=O)(=O)[O-].[Na+].[Na+]
sodium dodecylbenzene sulfonate,usp,C(CCCCCCCCCCC)OS(=O)(=O)C1=CC=CC=C1.[Na]
sodium erythorbate,rasff,[Na+].OC[C@H](O)C1OC(=O)[C-](O)C1=O
sodium hydro sulphate,ema,
sodium hydroxide,ema,[OH-].[Na+]
sodium hydroxide,usp,[OH-].[Na+]
sodium hydroxide,rasff,[OH-].[Na+]
sodium metabisulfite,ema,S(=O)(=O)([O-])S(=O)[O-].[Na+].[Na+]
sodium metabisulfite,rasff,S(=O)(=O)([O-])S(=O)[O-].[Na+].[Na+]
sodium methyl p-hydroxybenzoate,rasff,OC1=CC=C(C(=O)OC)C=C1.[Na]
sodium nitrate,rasff,[N+](=O)([O-])[O-].[Na+]
sodium nitrite,ema,N(=O)[O-].[Na+]
sodium nitrite,rasff,N(=O)[O-].[Na+]
sodium propyl p-hydroxybenzoate,rasff,OC1=CC=C(C(=O)OCCC)C=C1.[Na]
sodium sorbate,rasff,C(\C=C\C=C\C)(=O)[O-].[Na+]
sodium sulfate,usp,S(=O)(=O)([O-])[O-].[Na+].[Na+]
sodium tripolyphosphate,ema,[Na+].[Na+].[Na+].[Na+].[Na+].[O-][P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])([O-])=O
sodium-based compound,ema,
sodium-based water retention agent and water,usp,
soft wheat,usp,
soil,ema,
sole,ema,
solution,rasff,
solution of d-fructose and d-glucose,usp,
some powders,ema,
some unknown chemicals,ema,
sorbic acid,ema,C(\C=C\C=C\C)(=O)O
sorbic acid,rasff,C(\C=C\C=C\C)(=O)O
sorbitan tristearate,rasff,CCCCCCCCCCCCCCCCCC(=O)OCC(OC(=O)CCCCCCCCCCCCCCCCC)[C@H]1OC[C@@H](O)[C@@H]1OC(=O)CCCCCCCCCCCCCCCCC
sorbitol,usp,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
sorbitol,ema,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
"sorbitol-containing fruit juices (e.g., apple, pear, cherry, or aronia",usp,
soy,ema,
soy,usp,
soy flour,usp,
soy milk,usp,
soy oil,usp,
soy oil,ema,
soy protein,ema,
soy protein,usp,
soy sauce derived from acid hydrolyzed vegetable protein,usp,
soya,rasff,
soya oil,ema,
soybean,ema,
soybean,usp,
soybean flour,usp,
soybean meal,usp,
soybean oil,usp,
soybean oil,ema,
soybean oil (desterolilzed),usp,
soybean powder,usp,
soybean protein,usp,
soybeans,ema,
soymilk,usp,
spanish extra virgin olive oil,ema,
spanish olive oil,ema,
spent black pepper meal,usp,
spice powder from non-authentic botanical/varietal origin,usp,
spices,ema,
spike lavender oil (lavandula latifolia),usp,
spinach absolute (spinacia oleracea),usp,
spiny dogfish,ema,
spoiled pork,ema,
squalus acanthias [market names: shark,ema,
squid (dosidicus gigas),usp,
squid (eledone cirrhosa),usp,
squirefish (porgy),ema,
stachytarpheta jocaicensis,usp,
stamens of carnation species,usp,
stanozolol,rasff,C[C@]1(O)CC[C@H]2[C@@H]3CC[C@H]4Cc5[nH]ncc5C[C@]4(C)[C@H]3CC[C@]12C
staphylococcus,ema,
staphylococcus aureus,ema,
star anise oil (illicium verum),usp,
star-studded grouper,ema,
starch,ema,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
starch,usp,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
stearic acid,usp,C(CCCCCCCCCCCCCCCCC)(=O)O
stem and chaff of black pepper,usp,
stigma from non-authentic species of crocus,usp,
stigma of corn silk,usp,
stigmas from non-authentic crocus botanical origin (crocus vernus l.; crocus especiousus l.),usp,
stinking chamomile,ema,
stolen baby food,ema,
stolen baby formula,ema,
stolen california walnuts,ema,
stolen infant formula,ema,
stolen liquor,ema,
stolen maple syrup,ema,
stolen muenster cheese,ema,
stolen strawberries,ema,
stolen wine,ema,
stone powder,ema,
stone powder and chalk,usp,
straw,ema,
strawberry juice,usp,
striped catfish [pangasianodon hypophthalmus],ema,
strontium,rasff,[Sr]
strychnine,rasff,O=C1CC2OCC=C3CN4CCC56C4CC3C2C5N1c7ccccc67
sturgeon caviar,ema,
styrene,rasff,C=CC1=CC=CC=C1
sub-standard rice,ema,
substandard mawa,ema,
substandard oil,ema,
substandard oil,usp,
substandard sugar,ema,
substandard water,ema,
succinic acid,rasff,C(CCC(=O)O)(=O)O
sucralose,rasff,OC[C@H]1O[C@H](O[C@]2(CCl)O[C@H](CCl)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1Cl
sucrose,usp,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
sucrose,ema,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
sucrose solution,usp,
sucrose syrup,usp,
sudan 1,ema,O=C\1C=Cc2ccccc2C1=N/Nc3ccccc3
sudan 1 and 4 dyes,usp,
sudan dyes,usp,
sudan dyes,ema,
sudan i,ema,O=C\1C=Cc2ccccc2C1=N/Nc3ccccc3
sudan i dye,usp,
"sudan i, ii, iii, or iv dyes",usp,
sudan ii dye,usp,
sudan iii dye,usp,
sudan iv,ema,Cc1cc(ccc1N\N=C2/C(=O)C=Cc3ccccc23)N=Nc4ccccc4C
sudan iv dye,usp,
sudan red,ema,NC1=CC2N(c3cccc4ccccc34)c5cc(N)c6ccccc6c5N=C2c7ccccc17.Nc8cc9c(nc%10c%11ccccc%11ccc%10[n+]9c%12cccc%13ccccc%12%13)c%14ccccc8%14
sudan red dyes,usp,
sudan red i dyes,usp,
sugar,ema,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
sugar,usp,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
sugar and sodium sulfate,usp,
sugar and water,usp,
sugar of non-authentic geographic origin,usp,
sugar solution,usp,
sugar syrup,usp,
sugar syrup,ema,
sugar syrups,usp,
"sugar syrups from corn, sugar cane, sugar beet, and maple syrup",usp,
sugars,usp,
sugars (corn- or cane-derived),usp,
sulfadimethoxine,ema,COc1cc(N[S](=O)(=O)c2ccc(N)cc2)nc(OC)n1
sulfite,rasff,S(=O)([O-])[O-]
"sulfite, milk ingredient, mustard",rasff,
"sulfite, soya",rasff,
sulfites,fda,
sulfur dioxide,ema,S(=O)=O
sulfur dioxide,usp,S(=O)=O
sulfuric acid,usp,S(O)(O)(=O)=O
sulphuric acid,ema,S(O)(O)(=O)=O
sultana grapes,ema,
sumac,ema,
sunflower oil,usp,
sunflower oil,ema,
sunflower oil (desteroled),usp,
sunflower oil (desterolilzed),usp,
sunset yellow,usp,[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C2\C(=O)C=Cc3cc(ccc23)[S]([O-])(=O)=O)cc1
sunset yellow dye,usp,
sunset yellow fcf,rasff,[Na+].[Na+].[O-][S](=O)(=O)c1ccc(N\N=C2\C(=O)C=Cc3cc(ccc23)[S]([O-])(=O)=O)cc1
supermarket honey,ema,
surimi-based artificial crab meat,usp,
sutchi,ema,
swai,ema,
swai fish,ema,
sweet corn flavor,ema,
sweet orange oil,usp,
sweet orange oil,ema,
"sweet orange oil (citrus sinensis) and orange terpenes, plus trace amounts of character compounds",usp,
sweet orange oil brazil,usp,
sweet orange oil with added (-)-limonene,usp,
sweet potato,ema,
sweetener neotame,rasff,
sweetlips,ema,
swill or gutter oil (refined oil from recycled food and livestock waste),usp,
swill-cooked dirty oil,ema,
synephrine,rasff,CNCC(O)c1ccc(O)cc1
synthetic allyl isothiocyanate,usp,
"synthetic benzaldehde, eugenol, and cinnamic aldehyde",usp,
synthetic benzaldehyde,usp,
synthetic butter additives,ema,
"synthetic cinnamic aldehyde, methyl cinnamic aldehyde, and coumarin",usp,
synthetic color,usp,
synthetic color additives,usp,
synthetic colors,usp,
synthetic decanal,usp,
synthetic dyes,usp,
synthetic e-2-hexanal,usp,
synthetic e-2-hexenol,usp,
synthetic estragole,usp,
synthetic ethyl butyrate,usp,
synthetic eugenol,usp,COc1cc(CC=C)ccc1O
synthetic gamma- or delta-decalactone,usp,
synthetic honey composed of water and non-authentic sweeteners,usp,
synthetic linalool,usp,
synthetic linalool and linalyl acetate,usp,
synthetic linalyl acetate,usp,
synthetic malic acid with beet sugar,usp,
"synthetic mawa (refined oil, wheat flour, semolina, milk powder, potato, sweet potato, ground rice and chestnut powder)",usp,
synthetic milk,usp,
synthetic milk,ema,
"synthetic milk (caustic soda, oil, salt, sugar, urea, detegent, water)",usp,
"synthetic milk (urea, detergent, refined oil, caustic soda and white paint)",usp,
"synthetic milk comprised of water, urea, soda, sucrose, vegetable oils, skim milk powder, detergent",usp,
synthetic or semi-synthetic (e)-alpha-ionone,usp,
synthetic or semi-synthetic (e)-beta-ionone,usp,
synthetic or semi-synthetic alpha-ionone,usp,
synthetic or semi-synthetic benzaldehyde,usp,
synthetic or semi-synthetic beta-ionone,usp,
synthetic or semi-synthetic cinnamaldehyde,usp,
synthetic or semi-synthetic linalool,usp,
synthetic or semi-synthetic methyl salicylate,usp,
synthetic or semi-synthetic or p-hydroxybenzaldehyde,usp,
synthetic or semi-synthetic raspberry ketone,usp,
synthetic or semi-synthetic vanillin,usp,
synthetic phenylalanine,usp,
synthetic red dye azorubine (e122),ema,
synthetic resin,ema,
synthetic safranal,usp,
synthetic tyrosine,usp,
synthetic vanillin,usp,
synthetically derived acetic acid,usp,
syrup,ema,
tadalafil,rasff,CN1CC(=O)N2[C@H](Cc3c([nH]c4ccccc34)[C@H]2c5ccc6OCOc6c5)C1=O
talc,usp,O.O=[Mg].O=[Mg].O=[Mg].O=[Si]=O.O=[Si]=O.O=[Si]=O.O=[Si]=O
tallow,usp,
tamarind seed,usp,
tamarind seeds,usp,
tangelo juice,usp,
tangerine or mandarin juice,usp,
tapioca starch,usp,
tara gum,usp,
tartrazine,rasff,[Na+].[Na+].[Na+].[O-]C(=O)C1=NN(c2ccc(cc2)[S]([O-])(=O)=O)C(=O)C1N=Nc3ccc(cc3)[S]([O-])(=O)=O
tartrazine,usp,[Na+].[Na+].[Na+].[O-]C(=O)C1=NN(c2ccc(cc2)[S]([O-])(=O)=O)C(=O)C1N=Nc3ccc(cc3)[S]([O-])(=O)=O
taurine,rasff,NCCS(=O)(=O)O
taurine,ema,NCCS(=O)(=O)O
tea,ema,OCCN(CCO)CCO
tea leaves of non-authentic botanical origin,usp,
tea of non-authentic botanical origin,usp,
tea of non-authentic geographic origin,usp,
tea powder,usp,
technical grade anethol,usp,
tequila (derived from non-agave fermentable sugars),usp,
tequila from non-authentic geographic origin,usp,
tequila of non-authentic age (grade),usp,
"terpene hydrocarbon mixtures containing a-pinene and d-3-carene, also juniper branch oil and second grade oils from spoiled juniper berries",usp,
terpenes,usp,
terpenes from sweet orange,usp,
terpinen-4-ol and alpha- and gamma-terpinenes,usp,
tertiary butylhydroquinone,rasff,C(C)(C)(C)C1=C(O)C=CC(=C1)O
tetrachloroethene,rasff,ClC(=C(Cl)Cl)Cl
tetrachloroethylene,rasff,ClC(=C(Cl)Cl)Cl
tetracycline,ema,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O
tetrahydrocannabinol,rasff,CCCCCc1cc(O)c2C3CC(=CCC3C(C)(C)Oc2c1)C
tetramine,ema,[H+].[Cl-].CN(C)C1C2C(O)C3C(=C(O)c4c(O)cccc4C3(C)O)C(=O)C2(O)C(=O)\C(=C(N)\O)C1=O
tetrasodium pyrophosphate,ema,[O-]P([O-])(=O)OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+]
the cold chain -,rasff,
the prince alomo-bitters,ema,
the sum,rasff,
thiourea,usp,NC(=S)N
threads of gelatin,usp,
threonine,usp,N[C@@H]([C@H](O)C)C(=O)O
thresher,ema,
thujone,rasff,CC(C)C12CC1C(C)C(=O)C2
tilapia,usp,
tilapia,ema,
tilapia (chinese),usp,
tilapia (oreochromis niloticus),usp,
tilapia (oreochromis sp.),usp,
tilapia or white bass,usp,
tin,rasff,[Sn]
"tin, cobalt, germanium, vanadium",rasff,
"tin, nickel",rasff,
tinopal,usp,O[S](=O)(=O)c1cc(Nc2nc(Nc3ccccc3)nc(n2)N4CCOCC4)ccc1\C=C\c5ccc(Nc6nc(Nc7ccccc7)nc(n6)N8CCOCC8)cc5[S](O)(=O)=O
titanium dioxide,rasff,[O-2].[O-2].[Ti+4]
tobacco,fda,
tocotrienol,rasff,
toluene,rasff,C1(=CC=CC=C1)C
tomato skin,usp,
tomatoes that did not meet quality specifications,ema,
total color,rasff,
total phosphates,rasff,
toxic substances,ema,
tra fish,ema,
trans fatty acids,rasff,
transshipped butter,ema,
tri-ortho cresyl phosphate,usp,P(=O)(OC1=C(C=CC=C1)C)(OC1=C(C=CC=C1)C)OC1=C(C=CC=C1)C
trichloroethene,rasff,ClC=C(Cl)Cl
triclosan,usp,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl
triclosan (antimicrobial compound),usp,
triiodothyronine,rasff,N[C@@H](CC1=CC(I)=C(C(I)=C1)OC1=CC(I)=C(C=C1)O)C(=O)O
triphosphate,rasff,[O-]P([O-])(=O)OP(=O)([O-])OP(=O)([O-])[O-]
triuret,usp,NC(=O)NC(=O)NC(=O)N
tropeolin color,usp,
tuna,ema,
turkey,ema,
turkey meat,ema,
turkish hazelnut oil,ema,
turkish honey,ema,
turmeric,usp,COc1cc(\C=C\C(=O)CC(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O
turmeric,ema,COc1cc(\C=C\C(=O)CC(=O)\C=C\c2ccc(O)c(OC)c2)ccc1O
turmeric powder,usp,
turpentine,usp,
turpentine oil,ema,
twigs,usp,
tyrosine,usp,N[C@@H](CC1=CC=C(C=C1)O)C(=O)O
u.s. long grain rice,usp,
uht milk,usp,
unauthorized grapes,ema,
undeclared animal and plant proteins,usp,
undeclared meat species,ema,
undeclared meats,ema,
unidentified color,rasff,
unidentified meat,ema,
united states beef,ema,
unknown,ema,O
unknown fake fish,ema,
unknown milk source,ema,
unlicensed beverages,ema,
unpasteurized cheese,ema,
unsafe ingredient,rasff,
unspecified chemicals,ema,
urea,usp,NC(=O)N
urea,ema,NC(=O)N
urea (synthetic origin),usp,
urea and vegatable oil,ema,
ureaform,usp,
used and discarded oil,ema,
valine,usp,N[C@@H](C(C)C)C(=O)O
vanadium,rasff,[V]
"vanadium, boron citrate, molybdenum amino acid chelate, magnesium chelate, selenium chelate, copper chelate, manganese chelate",rasff,
"vanadium, boron citrate, selenium chelate, copper chelate, manganese chelate, chromium chelate",rasff,
"vanadium, selenium amino acid chelate",rasff,
vanadyl sulphate,rasff,
vanaspati,ema,
vanaspati (hydrogenated vegetable fat),usp,
vanillic alcohol,usp,COc1cc(CO)ccc1O
vanillin,usp,O=CC1=CC(OC)=C(O)C=C1
"vanillin, benzyl benzoate, ethyl and benzyl cinnamates, and benzoic acid to enhance odor (or to pass off cheaper &ldquo;sumatra&rdquo; grades as &ldquo;siam&rdquo;)",usp,
vardenafil,rasff,CCCc1nc(C)c2n1NC(=NC2=O)c3cc(ccc3OCC)[S](=O)(=O)N4CCN(CC)CC4
various fish species from the western part of pacific ocean,ema,
varnish,ema,
vegetable carbon,rasff,
vegetable fat,usp,
vegetable filler,ema,
vegetable ghee,ema,
vegetable margarine,usp,
vegetable material,ema,
vegetable oil,usp,
vegetable oil,ema,
vegetable oil from non-authentic botanical origin,usp,
vegetable oils,ema,
vegetable oils,usp,
vegetable oils of non-authentic botanical or geographic origin,usp,
vegetable oils on non-authentic botanical origin,usp,
vegetable oils rich in linoleic acid,usp,
"vegetable oils, hercolyn d",usp,
vegetale oil,usp,
vehicle anti-freeze,ema,
venetian red,usp,[Ca++].[O-][S]([O-])(=O)=O.O=[Fe]O[Fe]=O
venison,ema,
vermilion,usp,S=[Hg]
veterinary products,ema,
vibrio cholerae,fda,
vietnam-sourced seafood,ema,
vietnam-sourced shrimp,ema,
vietnamese catfish (swai),usp,
vietnamese honey,ema,
vietnamese rice,ema,
vinegar from non-authentic fermentable sugar source,usp,
vinegar made from reconstituted dry grapes,usp,
vinpocetine,rasff,CCOC(=O)C1=C[C@]2(CC)CCCN3CCc4c5ccccc5n1c4[C@H]23
"vinpocetine, citrulline malate",rasff,
virgin olive oil,ema,
virgin olive oil and other vegetable oils,usp,
virgin olive oil from non-authentic geographic origin,usp,
vitamin a,rasff,CC(=C\CO)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
vitamin b1,rasff,[Cl-].Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
"vitamin b12, caffeine",rasff,
vitamin b6,rasff,Cc1ncc(CO)c(CO)c1O
vitamin d,rasff,CC(C)C(C)\C=C\C(C)C1CCC2C(/CCCC12C)=C/C=C3\CC(O)CCC3=C
vitamin e,rasff,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2c(C)c(O)c(C)c(C)c2O1
vitamins,rasff,
volatile organic compounds,rasff,
walnut oil,usp,
washing powder,usp,
waste or recycled oil,usp,
waste water,ema,
water,ema,O
water,usp,O
water (use of water retention agents or overglazing),usp,
water buffalo,ema,
water buffalo meat,ema,
"water, cane sugar, and maple flavor",usp,
water-retaining agent,ema,
water-soluble corn starch,usp,
weakfish (cynoscion albus),usp,
wheat,ema,
wheat flour,ema,
wheat flour,usp,
wheat protein,usp,
whey,ema,
whey,usp,
whey protein,usp,
whey proteins,usp,
white mica,usp,
white pepper,usp,
whiteleg shrimp,ema,
whiting,usp,
whitting,usp,
wine from grapes of non-authentic botanical origin,usp,
wine from non-authentic brand,usp,
wine from the languedoc-roussillon,ema,
wreck fish (polyprion americanus) or nile perch (lates niloticus),usp,
xylene,rasff,C=1(C(=CC=CC1)C)C
yeast powder,usp,
yellow clay,usp,
yellow colored rice bran,ema,
yellow dye,ema,O=C(Nc1cccc2C(=O)c3ccccc3C(=O)c12)c4ccc(cc4)c5ccc(cc5)N=Nc6ccc(cc6)c7ccc(cc7)C(=O)Nc8cccc9C(=O)c%10ccccc%10C(=O)c89
yellow dye,usp,O=C(Nc1cccc2C(=O)c3ccccc3C(=O)c12)c4ccc(cc4)c5ccc(cc5)N=Nc6ccc(cc6)c7ccc(cc7)C(=O)Nc8cccc9C(=O)c%10ccccc%10C(=O)c89
yellow mouth gropuper,ema,
yellow sesame oil,usp,
yellow tail snapper,ema,
yellowedge grouper,ema,
yellowtail amberjack,ema,
yellowtail fish,usp,
yohimbine,rasff,COC(=O)[C@H]1[C@@H](O)CC[C@H]2CN3CCc4c([nH]c5ccccc45)[C@@H]3C[C@H]12
"yohimbine, synephrine",rasff,
zebra,ema,
zinc,rasff,[Zn]
zinc amino acid chelate,rasff,
"zinc amino acid chelate, selenium amino acid chelate, calcium amino acid chelate, magnesium amino acid chelate",rasff,
zinc arginine chelate,rasff,
