product,chemical
algae,aluminium
algae,arsenic
algae,iodine
apricot jam,E 200 - sorbic acid
apricot jam,E 210 - benzoic acid
apricot jam,sulphite
ayurvedic food supplement,arsenic
ayurvedic food supplement,lead
baby food,iodine
baby food,semicarbazide
baby food,vitamins
biscuits,colour E 127 - erythrosine
biscuits,melamine
biscuits,sulphite
bottled water,arsenic
bottled water,petroleum hydrocarbons
brownies,E 210 - benzoic acid
brownies,E 211 - sodium benzoate
bubble gum,colour E 122 - azorubine
bubble gum,colour E 127 - erythrosine
buckwheat flour,cadmium
buckwheat flour,lead
cake decoration,colour E 102 - tartrazine
cake decoration,colour E 124 - Ponceau 4R / cochineal red A
cake decoration,colour E 127 - erythrosine
cake decoration,colour E 143 - fast green FCF / FD&C green
calabash chalk,arsenic
calabash chalk,lead
candied fruit,colour E 110 - Sunset Yellow FCF
candied fruit,sulphite
candy,colour
candy,colour E 110 - Sunset Yellow FCF
candy,colour E 122 - azorubine
candy,colour E 127 - erythrosine
candy,lead
candy,sweetener E 950 - acesulfame k
candy floss,colour E 110 - Sunset Yellow FCF
candy floss,colour E 122 - azorubine
canned mushrooms,sulphite
canned mushrooms,tin
canned pineapple,cadmium
canned pineapple,tin
canned sliced pineapple,cadmium
canned sliced pineapple,tin
canned vegetables,erucic acid
canned vegetables,sulphite
carbonated natural mineral water,boron
carbonated natural mineral water,chromium
carbonated soft drink,E 200 - sorbic acid
carbonated soft drink,E 210 - benzoic acid
carbonated soft drink,E 211 - sodium benzoate
carbonated soft drink,E 385 - calcium disodium ethylene diamine tetra acetate
carbonated soft drink,benzene
carbonated soft drink,caffeine
carbonated soft drink,colour E 102 - tartrazine
carbonated soft drink,colour E 110 - Sunset Yellow FCF
carbonated soft drink,colour E 122 - azorubine
carbonated soft drink,colour E 123 - amaranth
carbonated soft drink,colour E 143 - fast green FCF / FD&C green
carbonated soft drink,sweetener E 952 - cyclamate
carrots,cadmium
carrots,lead
cayenne pepper,colour Para Red
cayenne pepper,colour Sudan 1
chewing gum,arsenic
chewing gum,colour E 110 - Sunset Yellow FCF
chewing gum,colour E 127 - erythrosine
chewing gum,lead
chewing gum,sildenafil
chilled plaice fillets,E 452 - polyphosphates
chilled plaice fillets,phosphate
chilled shrimps,E 210 - benzoic acid
chilled shrimps,sulphite
chilled spiny dogfish (squalus acanthias),non-dioxin-like polychlorobifenyls
chilled spiny dogfish (squalus acanthias),polychlorobifenyls
chilli,colour E 160b - annato/bixin/norbixin
chilli,colour Sudan 1
chilli powder,colour E 160b - annato/bixin/norbixin
chilli powder,colour Para Red
chilli powder,colour Rhodamine B
chilli powder,colour Sudan
chilli powder,colour Sudan 1
chilli powder,colour Sudan 4
chilli sauce,colour E 160b - annato/bixin/norbixin
chilli sauce,colour Sudan 1
chocolate biscuit,colour E 127 - erythrosine
chocolate biscuit,melamine
cocktail nuts,colour E 110 - Sunset Yellow FCF
cocktail nuts,colour Sudan 1
coffee,N-didesmethyl sibutramine
coffee,sildenafil
confectionery,colour E 110 - Sunset Yellow FCF
confectionery,colour E 127 - erythrosine
cookies,colour E 110 - Sunset Yellow FCF
cookies,colour E 160b - annato/bixin/norbixin
crude sunflower oil,benzo(a)pyrene
crude sunflower oil,mineral oil
curry paste,colour Sudan 1
curry paste,petroleum hydrocarbons
curry powder,colour E 100 - Curcumin
curry powder,colour E 160b - annato/bixin/norbixin
curry powder,colour Rhodamine B
curry powder,colour Sudan 1
curry powder,colour Sudan 4
cuttlefish,cadmium
cuttlefish,lead
dehydrated carrot,E 200 - sorbic acid
dehydrated carrot,sulphite
dietary supplements,arsenic
dietary supplements,colour E 129 - Allura Red AC
dietary supplements,iodine
dried algae,aluminium
dried algae,arsenic
dried algae,iodine
dried candied pineapple,colour E 110 - Sunset Yellow FCF
dried candied pineapple,sulphite
dried chilli powder,colour Rhodamine B
dried chilli powder,colour Sudan 1
dried figs,aflatoxins
dried figs,sulphite
dried fish,benzo(a)pyrene
dried fish,polycyclic aromatic hydrocarbons
dried ground chilli pepper,colour Rhodamine B
dried ground chilli pepper,colour Sudan 1
dried mushroom (boletus edulis),cadmium
dried mushroom (boletus edulis),mercury
dried pitted prunes,E 200 - sorbic acid
dried pitted prunes,E 210 - benzoic acid
dried pitted prunes,sulphite
dried plums,E 200 - sorbic acid
dried plums,sulphite
dried prunes,E 200 - sorbic acid
dried prunes,E 210 - benzoic acid
dried prunes,colour
dried prunes,sulphite
dried raisins,aliphatic hydrocarbons
dried raisins,mineral oil
dried raisins,sulphite
dried seaweed,arsenic
dried seaweed,cadmium
dried seaweed,iodine
dried shrimps,cadmium
dried shrimps,colour E 124 - Ponceau 4R / cochineal red A
dried strawberries,E 210 - benzoic acid
dried strawberries,sulphite
edible gelatine,arsenic
edible gelatine,zinc
eel,dioxin-like polychlorobifenyls
eel,polychlorobifenyls
egg noodle,aluminium
egg noodle,colour E 102 - tartrazine
eggs,dioxin-like polychlorobifenyls
eggs,dioxins
energy drink,E 200 - sorbic acid
energy drink,E 210 - benzoic acid
energy drink,E 211 - sodium benzoate
energy drink,colour E 124 - Ponceau 4R / cochineal red A
fish oil capsules,benzo(a)pyrene
fish oil capsules,dioxins
fish sauce,"3-monochlor-1,2-propanediol"
fish sauce,E 210 - benzoic acid
flavoured soft drink,E 210 - benzoic acid
flavoured soft drink,E 211 - sodium benzoate
food supplement,E 210 - benzoic acid
food supplement,E 216 - propyl p-hydroxybenzoate
food supplement,arsenic
food supplement,benzalkonium chloride
food supplement,benzethonium chloride
food supplement,benzo(a)pyrene
food supplement,cadmium
food supplement,caffeine
food supplement,chromium
food supplement,colour E 127 - erythrosine
food supplement,colour E 129 - Allura Red AC
food supplement,dimethylsildenafil
food supplement,lead
food supplement,mercury
food supplement,polycyclic aromatic hydrocarbons
food supplement,semicarbazide
food supplement,sibutramine
food supplement,sildenafil
food supplement,the sum of E 210 - benzoic acid
food supplement,tin
food supplement,vitamins
food supplement,zinc
fresh spinach,cadmium
fresh spinach,nitrate
frozen alaska pollock fillets (theragra chalcogramma),E 452 - polyphosphates
frozen alaska pollock fillets (theragra chalcogramma),phosphate
frozen black marlin steak,cadmium
frozen black marlin steak,mercury
frozen blue shark steak,cadmium
frozen blue shark steak,mercury
frozen cooked crabs (cancer pagurus),cadmium
frozen cooked crabs (cancer pagurus),dioxins
frozen cooked shrimps,E 210 - benzoic acid
frozen cooked shrimps,sulphite
frozen marlin (makaira indica),cadmium
frozen marlin (makaira indica),mercury
frozen minced meat,colour red sandalwood extract
frozen minced meat,nitrite
frozen prawns,cadmium
frozen prawns,colour E 129 - Allura Red AC
frozen prawns,sulphite
frozen shark steak,cadmium
frozen shark steak,mercury
frozen shrimps,E 452 - polyphosphates
frozen shrimps,colour E 129 - Allura Red AC
frozen shrimps,sulphite
fruit juice,E 210 - benzoic acid
fruit juice,colour E 102 - tartrazine
fruit juice,sweetener E 950 - acesulfame k
garlic powder,lead
garlic powder,sulphite
gilthead seabream (sparus aurata),E 452 - polyphosphates
gilthead seabream (sparus aurata),mercury
ginger in vinegar,colour E 127 - erythrosine
ginger in vinegar,sweetener E 954 - saccharin
ginger paste,E 210 - benzoic acid
ginger paste,sulphite
granulated tea,arsenic
granulated tea,lead
grapefruit seed extract,benzalkonium chloride
grapefruit seed extract,benzethonium chloride
grapes,copper
grapes,sulphite
green clay,arsenic
green clay,dioxins
green coffee,N-didesmethyl sibutramine
green coffee,phenolphthalein
green coffee,sibutramine
green tea,arsenic
green tea,benzo(a)pyrene
green tea,lead
green tea,sibutramine
grill spices,colour E 102 - tartrazine
grill spices,colour Para Red
grill spices,colour Sudan 1
ground paprika,colour E 160b - annato/bixin/norbixin
ground paprika,colour Para Red
ground sumac,colour Sudan 1
ground sumac,colour Sudan 4
herbal supplement,arsenic
herbal supplement,cadmium
herbal supplement,dimethylsildenafil
herbal supplement,lead
herbal supplement,mercury
herbal supplement,sildenafil
hot chilli powder,colour Sudan 1
hot chilli powder,colour Sudan 4
hot chilli sauce,benzo(a)pyrene
hot chilli sauce,sulphite
hot paprika powder,aflatoxins
hot paprika powder,colour E 160b - annato/bixin/norbixin
hot paprika powder,colour Sudan 1
hot sauce,colour Sudan 1
hot sauce,colour Sudan 3
husk oil,benzo(a)anthracene
husk oil,polycyclic aromatic hydrocarbons
instant coffee,sibutramine
instant coffee,sildenafil
instant noodle,aluminium
instant noodle,colour E 102 - tartrazine
jam,E 210 - benzoic acid
jam,colour E 102 - tartrazine
jelly,colour E 102 - tartrazine
jelly,colour E 110 - Sunset Yellow FCF
jelly,colour E 123 - amaranth
jelly sweets,colour E 110 - Sunset Yellow FCF
jelly sweets,colour E 122 - azorubine
jelly sweets,colour E 127 - erythrosine
ketchup,colour E 110 - Sunset Yellow FCF
ketchup,colour E 124 - Ponceau 4R / cochineal red A
ketchup,the sum of E 210 - benzoic acid
lollipop,colour E 102 - tartrazine
lollipop,colour E 110 - Sunset Yellow FCF
lollipop,colour E 122 - azorubine
lollipop,colour E 123 - amaranth
lollipop,colour E 127 - erythrosine
lollipop,colour E 129 - Allura Red AC
lollipop,colour E 160b - annato/bixin/norbixin
mango juice drink,E 210 - benzoic acid
mango juice drink,E 211 - sodium benzoate
mango nectar,E 210 - benzoic acid
mango nectar,colour E 160b - annato/bixin/norbixin
marlin,cadmium
marlin,mercury
marshmallow pops,colour
marshmallow pops,colour E 129 - Allura Red AC
mayonnaise,E 200 - sorbic acid
mayonnaise,colour E 123 - amaranth
mayonnaise,food additive E 386 - disodium ethylene diamine tetra acetate
mayonnaise,sweetener E 952 - cyclamate
mineral water,arsenic
mineral water,benzene
mineral water,boron
mineral water,nitrite
mineral water,petroleum hydrocarbons
mixed pickle,erucic acid
mixed pickle,sulphite
mustard,sulphite
mustard,the sum of E 210 - benzoic acid
mustard sauce,colour E 100 - Curcumin
mustard sauce,food additive E 386 - disodium ethylene diamine tetra acetate
non alcoholic beverage,E 452 - polyphosphates
non alcoholic beverage,sweetener E 954 - saccharin
non-refined soybean oil,benzo(a)pyrene
non-refined soybean oil,polycyclic aromatic hydrocarbons
noodle,"3-monochlor-1,2-propanediol"
noodle,aluminium
noodle,colour E 102 - tartrazine
noodle,colour E 122 - azorubine
noodle,colour red yeast rice
olive pomace oil,benzo(a)pyrene
olive pomace oil,polycyclic aromatic hydrocarbons
olive- residue oil,benzo(a)anthracene
olive- residue oil,benzo(a)pyrene
olive- residue oil,polycyclic aromatic hydrocarbons
orange drink,E 210 - benzoic acid
orange drink,E 385 - calcium disodium ethylene diamine tetra acetate
orange drink,colour E 110 - Sunset Yellow FCF
organic eggs,dioxins
organic eggs,non-dioxin-like polychlorobifenyls
palm oil,colour E 160b - annato/bixin/norbixin
palm oil,colour Sudan 3
palm oil,colour Sudan 4
palm oil,mineral oil
paprika powder,colour E 160b - annato/bixin/norbixin
paprika powder,colour Sudan 1
pepper sauce,colour Sudan 1
pepper sauce,sulphite
pickled ginger,colour E 124 - Ponceau 4R / cochineal red A
pickled ginger,colour E 127 - erythrosine
pickled ginger,colour E 129 - Allura Red AC
pickled turnip,colour E 102 - tartrazine
pickled turnip,colour E 122 - azorubine
pickled turnip,colour E 127 - erythrosine
pickled turnip,colour Rhodamine B
pickled vegetable,E 210 - benzoic acid
pickled vegetable,sulphite
pickled vegetable,sweetener E 954 - saccharin
pickles,colour E 122 - azorubine
pickles,colour Rose Bengal
pickles,erucic acid
pickles,sulphite
pineapple soft drink,E 210 - benzoic acid
pineapple soft drink,colour E 102 - tartrazine
plantain flour,aluminium
plantain flour,colour E 102 - tartrazine
pomegranate juice,colour E 102 - tartrazine
pomegranate juice,colour E 122 - azorubine
pomegranate juice,colour E 124 - Ponceau 4R / cochineal red A
pomegranate juice,lead
precooked shrimps,sulphite
precooked shrimps,the sum of E 210 - benzoic acid
preserved cabbage,E 211 - sodium benzoate
preserved cabbage,lead
preserved vegetables,E 211 - sodium benzoate
preserved vegetables,colour E 124 - Ponceau 4R / cochineal red A
prunes,benzo(a)pyrene
prunes,sweetener E 952 - cyclamate
raisins,aliphatic hydrocarbons
raisins,sulphite
red chilli pepper,colour Sudan 1
red chilli pepper,colour Sudan 4
red chilli powder,colour Sudan 1
red chilli powder,colour Sudan 4
red hot pepper,colour E 160b - annato/bixin/norbixin
red hot pepper,colour Sudan 1
red palm oil,colour E 160b - annato/bixin/norbixin
red palm oil,colour Sudan 4
red pepper paste,E 210 - benzoic acid
red pepper paste,colour Sudan 1
red pepper paste,sulphite
red wine,mineral oil
red wine,monoethylene glycol
red wine,sulphite
refined sunflower oil,benzo(a)pyrene
refined sunflower oil,mineral oil
rice,cadmium
rice,lead
roasted seaweed,arsenic
roasted seaweed,benzo(a)pyrene
roasted seaweed,cadmium
roasted seaweed,iodine
saffron,colour E 102 - tartrazine
saffron,colour Sudan 1
salami,colour E 124 - Ponceau 4R / cochineal red A
salami,colour E 128 - Red 2G
salami,gluten
salami,nitrate
sardines in oil,benzo(a)pyrene
sardines in oil,cadmium
sardines in vegetable oil,benzo(a)pyrene
sardines in vegetable oil,cadmium
sauce,E 210 - benzoic acid
sauce,colour E 110 - Sunset Yellow FCF
sauce,colour Sudan 1
sauce,sulphite
sausage,colour E 110 - Sunset Yellow FCF
sausage,colour E 124 - Ponceau 4R / cochineal red A
sausage,colour E 128 - Red 2G
sausage,colour Sudan 1
sausage,colour red yeast rice
sausage,gluten
sausage,sulphite
seasoning,"3-monochlor-1,2-propanediol"
seasoning,colour Sudan 1
seasoning,sulphite
seaweed,arsenic
seaweed,iodine
slimming coffee,N-didesmethyl sibutramine
slimming coffee,phenolphthalein
slimming coffee,sibutramine
smoked fish,benzo(a)pyrene
smoked fish,polycyclic aromatic hydrocarbons
smoked sprats,benzo(a)pyrene
smoked sprats,polycyclic aromatic hydrocarbons
sour cabbage,E 200 - sorbic acid
sour cabbage,sulphite
sour white cabbage,E 200 - sorbic acid
sour white cabbage,sulphite
soy sauce,"3-monochlor-1,2-propanediol"
soy sauce,E 216 - propyl p-hydroxybenzoate
spices,colour E 110 - Sunset Yellow FCF
spices,colour E 123 - amaranth
spices,colour E 127 - erythrosine
spices,colour E 160b - annato/bixin/norbixin
spices,colour Para Red
spices,colour Sudan
spices,colour Sudan 1
spices,colour Sudan 4
spices,colour red sandalwood extract
spices,sulphite
spicy sauce,E 210 - benzoic acid
spicy sauce,colour Sudan 1
spinach,cadmium
spinach,nitrate
spirulina tablets,arsenic
spirulina tablets,cadmium
strawberry jam,E 200 - sorbic acid
strawberry jam,E 210 - benzoic acid
strawberry jam,colour E 129 - Allura Red AC
sugar coated fennel seed,colour
sugar coated fennel seed,colour E 102 - tartrazine
sugar coated fennel seed,colour E 110 - Sunset Yellow FCF
sugar coated fennel seed,colour E 124 - Ponceau 4R / cochineal red A
sugar coated fennel seed,colour E 127 - erythrosine
sugar coated fennel seed,colour Rhodamine B
sumac,colour Rhodamine B
sumac,colour Sudan 1
sumac,colour Sudan 4
sweet chilli,colour E 124 - Ponceau 4R / cochineal red A
sweet chilli,colour E 160b - annato/bixin/norbixin
sweet chilli powder,colour E 160b - annato/bixin/norbixin
sweet chilli powder,colour Sudan 1
sweet paprika powder,colour E 160b - annato/bixin/norbixin
sweet paprika powder,colour Sudan 1
sweets,arsenic
sweets,colour E 122 - azorubine
sweets,colour E 123 - amaranth
sweets,colour E 127 - erythrosine
sweets,colour Rose Bengal
sweets,lead
swordfish,cadmium
swordfish,lead
swordfish,mercury
swordfish,nitrate
tandoori masala,colour E 102 - tartrazine
tandoori masala,colour E 124 - Ponceau 4R / cochineal red A
tandoori masala,colour Sudan 1
tea,arsenic
tea,caffeine
tomato ketchup,E 210 - benzoic acid
tomato ketchup,colour Sudan 1
tomato ketchup,sweetener E 952 - cyclamate
tomato sauce,E 210 - benzoic acid
tomato sauce,colour Sudan 1
tomato sauce,the sum of E 210 - benzoic acid
tomatoes,lead
tomatoes,sulphite
tuna,E 452 - polyphosphates
tuna,cadmium
tuna,colour E 124 - Ponceau 4R / cochineal red A
tuna,mercury
tuna fillets in olive oil,benzo(a)pyrene
tuna fillets in olive oil,mercury
turmeric powder,colour Rhodamine B
turmeric powder,colour Sudan
turmeric powder,colour Sudan 1
vegetable oil,benzo(a)pyrene
vegetable oil,colour Sudan 4
vine leaves in brine,copper
vine leaves in brine,sulphite
vinegar,lead
vinegar,sulphite
vinegar,zinc
walnut kernels,cadmium
walnut kernels,lead
walnut oil,benzo(a)pyrene
walnut oil,mineral oil
wheat noodle,aluminium
wheat noodle,colour E 102 - tartrazine
wheat pasta,aluminium
wheat pasta,colour E 102 - tartrazine
wine,monoethylene glycol
wine,sulphite
zam zam water,arsenic
zam zam water,nitrate
zomi palm oil,colour Sudan 1
zomi palm oil,colour Sudan 4
